wowday,wowdate,wowinfo
8,2010,"November 2010: Phase 2 of Elemental Unrest has commenced. While elements still attack the area, doomsayers have starting walking around, shouting the end of the world. Meanwhile, a badly, injured adventurer is found, surrounded by scorched bodies of grunts and Twilight Hammer cultists."
9,2010,"August 2010: The Peoples Republic of China approves a heavily edited Wrath of the Lich King two years after its general release. Bones are a huge no-no in China."
12,2010,"November 2010: Phase 3 of Elemental Unrest has commenced. Cultist Infiltrators have arrived to summon powerful elementals, while Cultist Incanters have started to appear within the capital cities. Leaders have noticed this and are returning to their posts to fight off the cultists, detaining some."
12,2010,"February 2010: The Peoples Republic of China approves World of Warcraft: The Burning Crusade for release, three years after its release everywhere else.
"
12,2010,"October 2010: Patch 4.0.1 is released, updating the launcher for Cataclysm and introducing reforging. Alongside with a complete talent and ability overhaul for all classes, emblems, badges, marks of honor, and ammunition have been removed from the game!"
15,2010,"November 2010: Phase 4 of Elemental Unrest has commenced. Elemental rifts now spawn with higher frequency, in an effort to overwhelming defending forces."
17,2010,"October 2010: All but one of WoWWikis active administrators leave Wikia forming Wowpedia. Over the next couple weeks, most of the active users follow. In a more positive note, the World of Warcraft: Cataclysm cinematic trailer is released. Parts of the trailer were aired on television in the second quarter of the Dallas Cowboys/Minnesota Vikings football game on the same day. The commercial asked, "Where will you be when the Cataclysm begins?""
19,2010,"January 2010: Merely a Setback! The Crimson Hall of Icecrown Citadel opens. The blood queen awaits for fresh doses."
22,2010,"October 2010: Blizzcon takes place at the Anaheim Convention Center, California. All attendees received Deathy, the murloc that looks like Deathwing, as an in-game pet. It was here that Blizzard announced that the next expansion (Cataclysm) will be available for direct digital download, rather than having to buy a CD hard copy."
22,2010,"June 2010: Patch 3.3.5 is released in North America, adding Real ID and cross-game chat using Battle.net, as well as the Ruby Sanctum."
23,2010,"November 2010: Patch 4.0.3a is released, completely changing the landscape of the Eastern Kingdoms and Kalimdor. Trolls and Gnomes have finally obtained a starting area and new race/class combinations for existing races. Also, Upper Blackrock Spire was reworked into a 5 man dungeon."
23,2010,"October 2010: Blizzcon takes place at the Anaheim Convention Center, California. All attendees received Deathy, the murloc that looks like Deathwing, as an in-game pet. It was here that Blizzard announced that the next expansion (Cataclysm) will be available for direct digital download, rather than having to buy a CD hard copy."
23,2010,"March 2010: Patch 3.3.3 is released, as the random battleground system is implemented, and the honor system is overhauled to account for the removal of battleground Marks of Honor."
24,2010,"March 2010: Crptozoic Entertainment announced the acquisition of the games license after Upper Deck Entertainment lost the license from Blizzard, and discussed the planned card sets that would be released."
26,2010,"March 2010: The Lich King`s plans fail at the hands of Paragon from Lightning's Blade-EU for the "official" first time! Yet, there must always be a Lich King..."
27,2010,"July 2010: Due the overwhelming flood of criticism, Blizzard rescinds their plan to put Real ID names on the official forums."
30,2010,"November 2010: All players logging in are awarded the achievement "WoW`s 6th Anniversary"."
30,2010,"June 2010: Patch 3.3.5 is released to all other non-American servers. Cataclysm Beta Tests also commence."
8,2011,"February 2011: Patch 4.0.6 is released, which was just a tooltip display fix and class adjustment patch."
9,2011,"January 2011: The return of Deathwing`s son, Nefarian, fails once more and becomes a decaying pile in front of Paragon from Lightning's Blade-EU within Blackwing Descent."
13,2011,"October 2011: Blizzard announces an auction for their old server hardware for charity, raising over $333,000 for the St. Jude Children's Research Hospital."
16,2011,"September 2011: Too bad! World of Warcraft: The Magazine closes after 5 issues. Subscribers were offered a refund or a collection of all six of the pets available from the Pet Store."
19,2011,"July 2011: Ragnaros is defeated in his own domain at the hands of Paragon from Lightning's Blade-EU at heroic 25 man. It was still too soon."
20,2011,"January 2011: Deathwing`s former prime consort, Sinestra, meets a gruesome end, as the guild Paragon from Lightning`s Blade-EU strikes the final blow."
20,2011,"December 2011: Deathwing`s corpse sinks into the Maelstorm thanks to the heroic actions of KIN Raiders, from Kargath-KR! (This is considered the World First heroic kill)"
20,2011,"November 2011: Players logging in are awarded "WoW`s 7th Anniversary" and a [Celebration Package], which is a buff to a characters reputation and experience gained during the anniversary period."
21,2011,"October 2011: Blizzcon takes place at the Anaheim Convention Center California. It was here where the Mists of Pandaria expansion was announced. People who commit to a full year monthly subscription to World of Warcraft will receive: a free copy of Diablo 3, a Tyrael mount, and a guaranteed invitation to the Mists of Pandaria beta. Attendees received a Murkablo mini-pet."
22,2011,"October 2011: Blizzcon takes place at the Anaheim Convention Center California. It was here where the Mists of Pandaria expansion was announced. People who commit to a full year monthly subscription to World of Warcraft will receive: a free copy of Diablo 3, a Tyrael mount, and a guaranteed invitation to the Mists of Pandaria beta. Attendees received a Murkablo mini-pet."
22,2011,"January 2011: WIINNNNNDDDDDDSSSSS! Al'Akir was unfortunately silenced by the hands of 夢想 of TW-Silverwing Hold. (This achievement was for 10 man heroic difficulty)"
24,2011,"January 2011: WIIIIIIIIIIINNNNNDDDDDDDDDS! Al'Akir falls from his Throne of the Four Winds by the might of Paragon from Lightning's Blade-EU on 25 man heroic difficulty."
26,2011,"April 2011: Patch 4.1.0 is released, which is the big, bad Zandalari patch. Zul'Aman and Zul'Gurub return as level 85 5 man heroic dungeons."
27,2011,"January 2011: Blizzard files complaints with the online service PayPal in an effort to make payment difficult for gold sellers. Chinese gold diggers were a serious issue at the time."
28,2011,"June 2011: Patch 4.2.0 is released, adding the Firelands raid to kill Ragnaros at his homeland, as well as Fireland daily invasion quests. The legendary staff [Dragonwrath, Tarecgosa`s Rest] is added to the game while keyrings are removed (keys become obsolete now). Also the Burning Crusade is offered to all players at no additional cost."
29,2011,"November 2011: Patch 4.3.0 is released, adding Raid Finder, transmogrification, void storage, End Time, Well of Eternity, and the Hour of Twilight dungeon, and the Dragon Soul raid instance. Darkmoon Faire is also moved to Darkmoon Island and The "Ghostcrawler promised me a pony" saying is immortalized ingame with the achievement "I Was Promised a Pony"."
7,2012,"October 2012: World of Warcraft is hacked on some servers, and both players and NPCs die en mass. Blizzard quickly hot-fixes this in a few hours and the issue is resolved."
11,2012,"October 2012: Paragon, from Lightning Blade-EU were able to surpass The Will of the Emperor within the Mogu'shan Vaults. This world first heroic kill, which was a 10 man, was the shortest recorded kill for any final boss in WoW. The raid lasted one day before it was fully completed."
11,2012,"October 2012: The sha-corrupted ruler of the mantid, Grand Empress Shek'zeer, is dethroned with the aid of Blood Legion from Illidan-US!"
16,2012,"August 2012: The Mists of Pandaria cinematic trailer is released at GamesCom 2012."
18,2012,"November 2012: Players logging in are awarded "WoW`s 8th Anniversary" and a [Celebration Package]."
21,2012,"March 2012: The Mist of Pandaria Beta begins."
25,2012,"July 2012: Blizzard announces the release date for the Mists of Pandaria expansion: September 25th."
25,2012,"November 2012: The Sha of Fear has been shown the one thing to fear most: Paragon from Lightning's Blade-EU."
25,2012,"September 2012: The Mists of Pandaria expansion is released! The player level cap is raised to 90, as the continent of Pandaria was discovered and can now be explored. Upon its discovery, we can across the Pandaren race, as well as the Monk Class. The pet battle system was also introduced, as well as the scenario system and a bunch of dungeons (9 to be exact), world bosses, and 3 initial raid instances."
27,2012,"November 2012: Patch 5.1.0 is released, adding the Brawler`s Guild, item upgrading, the legendary questline, and the Pandaren Campaign begins with Operation: shieldwall and the Dominance Offensive for the Alliance and Horde, respectively."
28,2012,"August 2012: Patch 5.0.4 is released, adding Account-wide achievements, pets, and mount usage, cross-realm servers, AOE looting, and introducing the first scenario: Theramore`s Fall (Which was essentially "Horde nukes an entire city" storyline)."
1,2013,"October 2013: The armies of the world have come for Garrosh Hellscream, facing all the terrible creatures he has wrought and the terrible power he has mastered! It was Method who rose against Hellscream`s new Horde and ended the new tryant`s reign for the first time in history!"
5,2013,"March 2013: Patch 5.2 is released, adding the Throne of Thunder raid instance, the Isle of Thunder daily quest content/area, new world bosses, and continuation of the legendary questline."
8,2013,"November 2013: Blizzcon 2013 takes place in the Anaheim Convention Center, California. It was here that the Warlords of Draenor expansion was announced. Attendees received a Murkalot mini-pet, which resembles the crusader from Diablo 3."
9,2013,"December 2013: It is revealed that the United States NSA (National Security Agency) and the United Kingdoms GCHQ (Government Communications Headquarters) have been actively spying on MMORPGs, including World of Warcraft. It was revealed that a 2008 memo circulated at the NSA had called online gaming a "target-rich communications network" where terrorists could communicate "in plain sight." HAHAHA"
9,2013,"November 2013: Blizzcon 2013 takes place in the Anaheim Convention Center, California. It was here that the Warlords of Draenor expansion was announced. Attendees received a Murkalot mini-pet, which resembles the crusader from Diablo 3.
"
10,2013,"September 2013: Patch 5.4 is released, introducing the Siege of Orgrimmar raid after Garrosh Hellscream takes matter into his own hands. The Timeless Isle, with 4 new world bosses, and the proving grounds are introduced. In this patch, raid difficulty was adjusted and changed to scale with the amount of players in the group, as well as the new personal loot system, connected realm implementation, and a redesigned arena system."
10,2013,"December 2013: Patch 5.4.2 is released, which basically introduced the In-Game Shop, where you can buy mounts, pets, and items without having to go to the Online Blizzard store."
11,2013,"April 2013: The creator of the Mogu and a secret Heroic Mode boss, Ra-Den, sleeps once more at his battle against Method, from Twisting Nether-EU, for the first time."
14,2013,"August 2013: Blizzard trademarks the title "The Dark Below". With speculation over the past few months about the possibility of a Burning Legion expansion, players are convinced we will soon be descending into the dark depths of Azeroth!
"
17,2013,"November 2013: Players logging in are awarded the "WoW`s 9th Anniversary" achievement and a [Celebration Package]."
21,2013,"May 2013: Patch 5.3 is released, re-adding item upgrading that was removed in Patch 5.2, as well as adding a new battleground, arena, and 4 new scenarios."
23,2013,"August 2013: It is announced that the World of Warcraft Trading Card Game will end with Set 21, Timewalkers: Reign of Fire being the last set made."
24,2013,"March 2013: Lei Shen, the Thunder King, is put back into his tomb at the hands of Paragon from Lightning's Blade-EU. (World First Heroic Kill)"
25,2013,"September 2013: The first connected realm was implemented, in order to populate less popular servers, while saving space/time."
27,2013,"November 2013: Longtime Lead Systems Designer for World of Warcraft, Greg "Ghostcrawler" Street announces he is leaving Blizzard Entertainment."
2,2014,"December 2014: Highmaul opens its gates for Normal and Heroic difficulty. Imperator awaits with his Ogron Army!"
3,2014,"April 2014: Warlord of Draenor internal alpha testing begins!"
4,2014,"June 2014: Warlords of Draenor friends and family alpha testing begins."
4,2014,"July 2014: Blizzard releases some comical "extra footage" from the Mists of Pandaria cinematic, featuring the human and orc characters drinking in a tavern, supposedly shot "just moments after" the original cinematics end."
6,2014,"February 2014: World of Warcraft reaches 7.8 million players!"
8,2014,"November 2014: Blizzcon 2014 takes place in the Anaheim Convention Center, California. Since the expansion is pretty close to release, there is not much news for WoW this time around. The convention focuses on their new IP, Overwatch and the movie "Looking for Group". Attendees still got a goodie bag, including the [Grommloc] mini-pet, which resembles Grommosh Hellscream."
10,2014,"March 2014: Pre-orders for the Warlords of Draenor expansion are open, as well as introducing the Character Boost service. For the a fee, you can instantly level up a character the to the highest level, as pre-ordering Warlords of Draenor will grant you a free Boost for a single character."
11,2014,"March 2014: The [Hearthsteed] mount is introduced as a promotion to mark the launch of Hearthstone: Heroes of Warcraft, Blizzard`s new TCG online card game."
11,2014,"November 2014: In anticipation of the release of Warlords of Draenor, A New York taxi cab is placed with a gigantic Gorehowl embedded in its roof was placed in Times Square, New York! A broken roof-top advert for Warlords of Draenor is found next to the cab, while the side of the cab advertises "Flat fare Draenor" and "The Iron Horde is coming". The cab also bears the number plate WRCRFT and has the Iron Horde logo emblazoned on its hood. 
"
12,2014,"August 2014: Following the death of comedian and actor Robin Williams, known to have himself been a player of World of Warcraft and Warcraft III, on August 12th, following assurances from CM Celestalon and Williams fan Brian Holinka, the official World of Warcraft twitter account tweets ".@robinwilliams Thank you. You gave us so much joy in our lives, and we hope you enjoyed your time in our world. We’ll see you in-game." The message is widely taken as confirmation of the creation of an in-game tribute."
13,2014,"November 2014: For the first time in several years, many players experience queues to get into the game, some showing backups of thousands of players and hours of waiting. Debate on fansites are confused if this is due to Blizzard not having enough servers or a continuation of the DDoS attack."
13,2014,"November 2014: World of Warcraft: Warlords of Draenor is released! The level cap is raised to 100, introducing Draenor, the land before it became corrupt and turned into the ruins of Outland. Along with new dungeons and the Ashran PvP area, players are now able to build and customize their own garrison."
13,2014,"December 2014: Venturing through the base of the Gorian Empire, Paragon encounters the Ogre Mage and current ruler of Highmaul, Imperator Mar'gok. Upon his defeat at the hands of Paragon of Lightning's Blade-EU, the evil orge warlock, Cho'gall, interrupts the fight, slays Mar'gok, and proceeds to fight Paragon, only to fall under their might!"
